Assetnumber,AssetName,AssetType,ConstructionType,Maintainance State,Buildyear,Maintainer,Owner,Status,Width,Length,Area,Location,Latitude,Longitude,Passage road-width,Passage road-height,Passage sail-width,Passage sail-height,Technical lifespan expires,OBJECT_GUID,Area,Connection Type,Neighborhood,City,RD-X,RD-Y
2009,Gorinchembrug,Verkeersbrug,Concrete,2. Good,1981,SB AIB,Gemeente Almere,Existing,8.5,15,127.5,Pijnackerbrug,,,5.5,,14,1.5,2100,318630A66B663498E0535B320A0A7C56,Gorinchemgracht,Groengebieden/Parken,Stedenwijk,Almere Stad,142543.095,485814.642
2011,Bredabrug,Verkeersbrug,Concrete,2. Good,1981,SB AIB,Gemeente Almere,Existing,8.5,15,127.5,Pijnackerbrug,,,5.5,,14,2,2100,318630A66B653498E0535B320A0A7C56,Gorinchemgracht,Groengebieden/Parken,Stedenwijk,Almere Stad,142293.655,485677.477
2015,Gooisekantpoort,Verkeersbrug,Concrete,2. Good,1981,SB AIB,Gemeente Almere,Existing,20,16.6,332,Havendreef_Gooisekant 2,52.3541626,5.192585,8.6,2.7,,,2100,318630A66B403498E0535B320A0A7C56,Havendreef,Hoofdwegen,Gooisekant,Almere Stad,141837.171,484980.121
2016,Veeregrachtpoort,Verkeersbrug,Concrete,2. Good,1980,SB AIB,Gemeente Almere,Existing,20,51.5,1030,Omroepbrug,52.3552876,5.1939758,7.4,,,,2300,318630A66B3F3498E0535B320A0A7C56,Havendreef,Groengebieden/Parken,Gooisekant,Almere Stad,141719.709,485220.901
2018,Purmerpoort,Verkeersbrug,Concrete,2. Good,1985,SB AIB,Gemeente Almere,Existing,9,10.5,94.5,Hollandsedreef_Hollandsekant 4,52.3657093,5.177203,5.6,2.6,0,0,2100,318630A66B473498E0535B320A0A7C56,Hollandsedreef,Hoofdwegen,Muziekwijk,Almere Stad,140621.888,486432.026
2025,Scarlattibrug,Verkeersbrug,Concrete,2. Good,1980,SB AIB,Gemeente Almere,Existing,9,47,427,Velsenpad,52.3668175,5.2051926,7,5,,,2300,318630A66AB03498E0535B320A0A7C56,Stedendreef,Woongebied,Stedenwijk,Almere Stad,142488.061,486501.744
2026,Amersfoortbrug,Verkeersbrug,Concrete,2. Good,1979,SB AIB,Gemeente Almere,Existing,8.5,11,94,Breukelengracht 1~30,52.3655002,5.2060451,5.5,,9,1.5,2300,318630A66AB23498E0535B320A0A7C56,Amersfoortweg,Woongebied,Stedenwijk,Almere Stad,142671.785,486416.783
2027,Velsenbrug,Verkeersbrug,Concrete,2. Good,1979,SB AIB,Gemeente Almere,Existing,3.5,11,39,Haarlembrug,52.3801553,4.6412026,3,,9,1.5,2300,318630A66AAF3498E0535B320A0A7C56,Velsenpad,Groengebieden/Parken,Stedenwijk,Almere Stad,142712.251,486529.578
2029,Haarlembrug,Verkeersbrug,Concrete,2. Good,1979,SB AIB,Gemeente Almere,Existing,5,10.5,52.5,Haarlembrug,52.3801553,4.6412026,4.5,,9,1.5,2300,318630A66AAD3498E0535B320A0A7C56,Alkmaargracht,Groengebieden/Parken,Stedenwijk,Almere Stad,142738.805,486629.845
2030,Alkmaarbrug,Verkeersbrug,Concrete,2. Good,1979,SB AIB,Gemeente Almere,Existing,5,10.5,52.5,Amsterdambrug,52.3635898,4.9024018,4.5,,9,1.5,2300,318630A66AAE3498E0535B320A0A7C56,Den Uylpad,Groengebieden/Parken,Stedenwijk,Almere Stad,142668.354,486675.874
